Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR13013579	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	86366	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013579/SRR13013579.sra	SRR13013579.sra	SRR13013579_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/079/SRR13013579/SRR13013579_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/079/SRR13013579/SRR13013579_1.fastq.gz	SRR13013579_1.fastq.gz	SRR13013579_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_1.fastq.gz
SRR13013579	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	86366	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013579/SRR13013579.sra	SRR13013579.sra	SRR13013579_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/079/SRR13013579/SRR13013579_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/079/SRR13013579/SRR13013579_2.fastq.gz	SRR13013579_2.fastq.gz	SRR13013579_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_2.fastq.gz
SRR13013580	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	115262	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013580/SRR13013580.sra	SRR13013580.sra	SRR13013580_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/080/SRR13013580/SRR13013580_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/080/SRR13013580/SRR13013580_1.fastq.gz	SRR13013580_1.fastq.gz	SRR13013580_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_1.fastq.gz
SRR13013580	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	115262	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013580/SRR13013580.sra	SRR13013580.sra	SRR13013580_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/080/SRR13013580/SRR13013580_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/080/SRR13013580/SRR13013580_2.fastq.gz	SRR13013580_2.fastq.gz	SRR13013580_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_2.fastq.gz
SRR13013581	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	28465	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013581/SRR13013581.sra	SRR13013581.sra	SRR13013581_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/081/SRR13013581/SRR13013581_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/081/SRR13013581/SRR13013581_1.fastq.gz	SRR13013581_1.fastq.gz	SRR13013581_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_1.fastq.gz
SRR13013581	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	28465	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013581/SRR13013581.sra	SRR13013581.sra	SRR13013581_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/081/SRR13013581/SRR13013581_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/081/SRR13013581/SRR13013581_2.fastq.gz	SRR13013581_2.fastq.gz	SRR13013581_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_2.fastq.gz
SRR13013582	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	83154	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013582/SRR13013582.sra	SRR13013582.sra	SRR13013582_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/082/SRR13013582/SRR13013582_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/082/SRR13013582/SRR13013582_1.fastq.gz	SRR13013582_1.fastq.gz	SRR13013582_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_1.fastq.gz
SRR13013582	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	83154	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013582/SRR13013582.sra	SRR13013582.sra	SRR13013582_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/082/SRR13013582/SRR13013582_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/082/SRR13013582/SRR13013582_2.fastq.gz	SRR13013582_2.fastq.gz	SRR13013582_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_2.fastq.gz
SRR13013585	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	97188	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013585/SRR13013585.sra	SRR13013585.sra	SRR13013585_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/085/SRR13013585/SRR13013585_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/085/SRR13013585/SRR13013585_1.fastq.gz	SRR13013585_1.fastq.gz	SRR13013585_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_1.fastq.gz
SRR13013585	Illumina HS4000 of P. falciparum after sWGA: DRC dried blood spot	Illumina HiSeq 4000	97188	1614466800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR130/SRR13013585/SRR13013585.sra	SRR13013585.sra	SRR13013585_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/085/SRR13013585/SRR13013585_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR130/085/SRR13013585/SRR13013585_2.fastq.gz	SRR13013585_2.fastq.gz	SRR13013585_Illumina_HS4000_of_P._falciparum_after_sWGA_DRC_dried_blood_spot_2.fastq.gz
